image_path,label
_day09_image_data\images\diagonal_010.png,diagonal
_day09_image_data\images\vertical_044.png,vertical
_day09_image_data\images\vertical_045.png,vertical
_day09_image_data\images\vertical_022.png,vertical
_day09_image_data\images\horizontal_057.png,horizontal
_day09_image_data\images\horizontal_025.png,horizontal
_day09_image_data\images\horizontal_023.png,horizontal
_day09_image_data\images\horizontal_019.png,horizontal
_day09_image_data\images\diagonal_019.png,diagonal
_day09_image_data\images\horizontal_054.png,horizontal
_day09_image_data\images\horizontal_052.png,horizontal
_day09_image_data\images\vertical_020.png,vertical
_day09_image_data\images\horizontal_060.png,horizontal
_day09_image_data\images\horizontal_029.png,horizontal
_day09_image_data\images\diagonal_075.png,diagonal
_day09_image_data\images\horizontal_045.png,horizontal
_day09_image_data\images\diagonal_014.png,diagonal
_day09_image_data\images\diagonal_077.png,diagonal
_day09_image_data\images\horizontal_075.png,horizontal
_day09_image_data\images\diagonal_037.png,diagonal
_day09_image_data\images\horizontal_040.png,horizontal
_day09_image_data\images\vertical_041.png,vertical
_day09_image_data\images\vertical_002.png,vertical
_day09_image_data\images\vertical_063.png,vertical
_day09_image_data\images\diagonal_000.png,diagonal
_day09_image_data\images\vertical_057.png,vertical
