image_id,split,image_path,width,height,is_empty,difficulty,boxes,labels
18,train,_day01_detection_data\images\train_018.png,160,160,0,1,"[[78.0, 17.0, 127.0, 56.0], [16.0, 89.0, 82.0, 121.0], [84.0, 34.0, 107.0, 64.0], [93.0, 62.0, 115.0, 79.0], [34.0, 54.0, 80.0, 93.0]]","[3, 1, 1, 3, 3]"
19,train,_day01_detection_data\images\train_019.png,160,160,0,0,"[[88.0, 23.0, 101.0, 44.0], [39.0, 98.0, 70.0, 152.0]]","[3, 3]"
20,train,_day01_detection_data\images\train_020.png,160,160,0,0,"[[93.0, 89.0, 130.0, 131.0], [32.0, 54.0, 83.0, 67.0]]","[2, 2]"
21,train,_day01_detection_data\images\train_021.png,160,160,0,1,"[[100.0, 38.0, 141.0, 70.0], [80.0, 8.0, 100.0, 39.0], [49.0, 129.0, 88.0, 153.0]]","[2, 2, 1]"
22,train,_day01_detection_data\images\train_022.png,160,160,0,0,"[[44.0, 26.0, 110.0, 70.0], [105.0, 96.0, 143.0, 140.0], [64.0, 20.0, 129.0, 74.0], [3.0, 35.0, 30.0, 57.0]]","[1, 1, 1, 3]"
23,train,_day01_detection_data\images\train_023.png,160,160,0,1,"[[15.0, 22.0, 77.0, 73.0], [108.0, 22.0, 153.0, 70.0], [71.0, 59.0, 104.0, 71.0], [66.0, 106.0, 114.0, 150.0]]","[1, 2, 2, 2]"
24,train,_day01_detection_data\images\train_024.png,160,160,0,0,"[[80.0, 108.0, 129.0, 125.0]]",[1]
25,train,_day01_detection_data\images\train_025.png,160,160,0,0,"[[35.0, 15.0, 59.0, 49.0], [23.0, 29.0, 41.0, 86.0], [118.0, 22.0, 135.0, 85.0]]","[3, 3, 3]"
26,train,_day01_detection_data\images\train_026.png,160,160,0,0,"[[45.0, 118.0, 111.0, 140.0], [126.0, 42.0, 155.0, 70.0], [134.0, 31.0, 153.0, 63.0], [16.0, 98.0, 70.0, 123.0], [94.0, 83.0, 147.0, 143.0]]","[1, 3, 2, 1, 3]"
27,train,_day01_detection_data\images\train_027.png,160,160,0,1,"[[30.0, 29.0, 76.0, 72.0], [100.0, 30.0, 132.0, 66.0], [51.0, 47.0, 91.0, 113.0], [47.0, 120.0, 63.0, 135.0], [108.0, 60.0, 156.0, 113.0]]","[2, 3, 3, 3, 2]"
28,train,_day01_detection_data\images\train_028.png,160,160,0,0,"[[74.0, 105.0, 140.0, 137.0]]",[1]
29,train,_day01_detection_data\images\train_029.png,160,160,0,1,"[[83.0, 123.0, 117.0, 137.0], [46.0, 25.0, 91.0, 54.0], [76.0, 75.0, 112.0, 117.0], [86.0, 25.0, 134.0, 49.0]]","[2, 1, 1, 2]"
30,train,_day01_detection_data\images\train_030.png,160,160,0,0,"[[12.0, 27.0, 50.0, 65.0], [48.0, 75.0, 98.0, 115.0], [124.0, 55.0, 143.0, 86.0], [10.0, 90.0, 27.0, 123.0]]","[2, 1, 3, 2]"
31,train,_day01_detection_data\images\train_031.png,160,160,0,0,"[[121.0, 38.0, 147.0, 56.0], [106.0, 88.0, 148.0, 154.0], [20.0, 129.0, 47.0, 149.0], [17.0, 39.0, 46.0, 87.0]]","[3, 3, 2, 1]"
32,train,_day01_detection_data\images\train_032.png,160,160,1,0,[],[]
33,train,_day01_detection_data\images\train_033.png,160,160,0,0,"[[100.0, 129.0, 149.0, 148.0], [95.0, 87.0, 142.0, 139.0]]","[2, 2]"
34,train,_day01_detection_data\images\train_034.png,160,160,0,0,"[[68.0, 13.0, 93.0, 39.0], [44.0, 89.0, 71.0, 143.0], [47.0, 63.0, 81.0, 129.0]]","[2, 2, 3]"
35,train,_day01_detection_data\images\train_035.png,160,160,0,0,"[[41.0, 57.0, 107.0, 87.0], [106.0, 3.0, 126.0, 69.0], [74.0, 139.0, 102.0, 155.0]]","[1, 3, 3]"
36,train,_day01_detection_data\images\train_036.png,160,160,0,0,"[[77.0, 12.0, 121.0, 60.0], [139.0, 10.0, 153.0, 61.0], [57.0, 21.0, 123.0, 74.0], [51.0, 68.0, 85.0, 118.0]]","[1, 2, 1, 3]"
37,train,_day01_detection_data\images\train_037.png,160,160,0,0,"[[78.0, 57.0, 118.0, 93.0], [32.0, 93.0, 78.0, 145.0], [89.0, 22.0, 102.0, 42.0], [112.0, 74.0, 148.0, 140.0], [58.0, 17.0, 88.0, 52.0]]","[2, 3, 3, 3, 1]"
38,train,_day01_detection_data\images\train_038.png,160,160,0,1,"[[61.0, 104.0, 115.0, 154.0]]",[3]
39,train,_day01_detection_data\images\train_039.png,160,160,1,0,[],[]
40,train,_day01_detection_data\images\train_040.png,160,160,0,0,"[[127.0, 72.0, 157.0, 93.0], [35.0, 69.0, 59.0, 118.0], [108.0, 2.0, 157.0, 54.0]]","[1, 2, 3]"
41,train,_day01_detection_data\images\train_041.png,160,160,0,1,"[[123.0, 8.0, 157.0, 58.0], [105.0, 91.0, 143.0, 113.0], [66.0, 98.0, 132.0, 111.0], [21.0, 40.0, 71.0, 106.0]]","[3, 1, 1, 3]"
42,train,_day01_detection_data\images\train_042.png,160,160,0,0,"[[6.0, 20.0, 53.0, 49.0], [91.0, 62.0, 128.0, 108.0]]","[3, 2]"
43,train,_day01_detection_data\images\train_043.png,160,160,0,0,"[[88.0, 95.0, 125.0, 126.0], [102.0, 107.0, 135.0, 156.0]]","[1, 2]"
44,train,_day01_detection_data\images\train_044.png,160,160,1,1,[],[]
45,train,_day01_detection_data\images\train_045.png,160,160,1,1,[],[]
46,train,_day01_detection_data\images\train_046.png,160,160,0,0,"[[80.0, 70.0, 129.0, 96.0]]",[1]
47,train,_day01_detection_data\images\train_047.png,160,160,0,0,"[[35.0, 9.0, 50.0, 33.0], [34.0, 12.0, 98.0, 64.0], [88.0, 77.0, 102.0, 107.0], [17.0, 130.0, 61.0, 154.0], [37.0, 12.0, 85.0, 49.0]]","[2, 1, 2, 1, 1]"
48,train,_day01_detection_data\images\train_048.png,160,160,0,0,"[[30.0, 22.0, 84.0, 42.0], [37.0, 4.0, 92.0, 35.0], [23.0, 13.0, 50.0, 40.0]]","[2, 1, 1]"
49,train,_day01_detection_data\images\train_049.png,160,160,0,1,"[[12.0, 41.0, 61.0, 58.0], [102.0, 111.0, 125.0, 143.0], [43.0, 72.0, 85.0, 93.0]]","[2, 2, 1]"
50,train,_day01_detection_data\images\train_050.png,160,160,0,0,"[[23.0, 39.0, 81.0, 74.0]]",[1]
51,train,_day01_detection_data\images\train_051.png,160,160,0,0,"[[63.0, 116.0, 91.0, 142.0], [88.0, 62.0, 113.0, 100.0], [74.0, 11.0, 107.0, 69.0], [81.0, 84.0, 134.0, 104.0]]","[1, 1, 3, 2]"
52,train,_day01_detection_data\images\train_052.png,160,160,0,1,"[[26.0, 101.0, 69.0, 136.0], [12.0, 119.0, 42.0, 147.0], [13.0, 58.0, 56.0, 94.0], [98.0, 91.0, 155.0, 126.0]]","[2, 2, 2, 1]"
53,train,_day01_detection_data\images\train_053.png,160,160,0,0,"[[42.0, 16.0, 68.0, 82.0]]",[3]
54,train,_day01_detection_data\images\train_054.png,160,160,0,0,"[[79.0, 65.0, 140.0, 99.0], [58.0, 108.0, 77.0, 146.0], [49.0, 81.0, 101.0, 116.0], [5.0, 70.0, 36.0, 136.0], [89.0, 76.0, 155.0, 124.0]]","[1, 1, 1, 3, 1]"
55,train,_day01_detection_data\images\train_055.png,160,160,0,0,"[[102.0, 113.0, 128.0, 151.0]]",[2]
56,train,_day01_detection_data\images\train_056.png,160,160,0,0,"[[101.0, 18.0, 125.0, 47.0], [40.0, 28.0, 81.0, 63.0], [17.0, 117.0, 37.0, 155.0], [23.0, 69.0, 35.0, 83.0], [49.0, 112.0, 114.0, 157.0]]","[2, 2, 3, 2, 1]"
57,train,_day01_detection_data\images\train_057.png,160,160,0,0,"[[120.0, 57.0, 134.0, 89.0], [7.0, 55.0, 61.0, 70.0], [82.0, 60.0, 108.0, 92.0]]","[3, 3, 1]"
58,train,_day01_detection_data\images\train_058.png,160,160,0,1,"[[93.0, 120.0, 129.0, 151.0], [83.0, 91.0, 149.0, 141.0], [47.0, 79.0, 91.0, 145.0], [29.0, 12.0, 74.0, 54.0], [86.0, 93.0, 123.0, 115.0]]","[2, 1, 3, 3, 2]"
59,train,_day01_detection_data\images\train_059.png,160,160,0,0,"[[75.0, 47.0, 93.0, 100.0], [5.0, 73.0, 43.0, 112.0], [88.0, 49.0, 102.0, 95.0], [20.0, 12.0, 58.0, 62.0]]","[3, 2, 2, 2]"
60,train,_day01_detection_data\images\train_060.png,160,160,0,1,"[[84.0, 70.0, 105.0, 92.0], [89.0, 93.0, 117.0, 114.0], [23.0, 102.0, 42.0, 129.0], [51.0, 42.0, 96.0, 66.0]]","[2, 2, 3, 2]"
61,train,_day01_detection_data\images\train_061.png,160,160,0,1,"[[28.0, 44.0, 55.0, 110.0], [57.0, 85.0, 123.0, 119.0], [2.0, 9.0, 45.0, 60.0], [15.0, 79.0, 52.0, 145.0], [21.0, 37.0, 46.0, 55.0]]","[3, 1, 2, 3, 1]"
62,train,_day01_detection_data\images\train_062.png,160,160,0,0,"[[4.0, 26.0, 31.0, 54.0], [37.0, 6.0, 76.0, 38.0]]","[3, 2]"
63,train,_day01_detection_data\images\train_063.png,160,160,0,0,"[[71.0, 20.0, 112.0, 34.0], [14.0, 94.0, 67.0, 141.0], [47.0, 47.0, 92.0, 90.0]]","[2, 2, 2]"
64,train,_day01_detection_data\images\train_064.png,160,160,0,0,"[[54.0, 83.0, 103.0, 123.0], [14.0, 66.0, 54.0, 110.0]]","[2, 1]"
65,train,_day01_detection_data\images\train_065.png,160,160,0,0,"[[28.0, 46.0, 50.0, 85.0], [27.0, 9.0, 77.0, 29.0], [69.0, 27.0, 87.0, 91.0], [32.0, 115.0, 81.0, 143.0]]","[3, 2, 3, 2]"
66,train,_day01_detection_data\images\train_066.png,160,160,0,0,"[[46.0, 26.0, 66.0, 47.0], [4.0, 45.0, 38.0, 86.0], [73.0, 9.0, 109.0, 39.0]]","[1, 3, 2]"
67,train,_day01_detection_data\images\train_067.png,160,160,0,0,"[[54.0, 46.0, 78.0, 75.0]]",[1]
68,train,_day01_detection_data\images\train_068.png,160,160,0,1,"[[28.0, 110.0, 51.0, 146.0]]",[3]
69,train,_day01_detection_data\images\train_069.png,160,160,0,0,"[[72.0, 139.0, 98.0, 156.0], [78.0, 78.0, 132.0, 101.0], [85.0, 32.0, 151.0, 76.0], [55.0, 77.0, 121.0, 105.0], [86.0, 36.0, 152.0, 71.0]]","[1, 2, 1, 1, 1]"
70,train,_day01_detection_data\images\train_070.png,160,160,0,1,"[[63.0, 96.0, 92.0, 116.0], [86.0, 28.0, 121.0, 90.0], [33.0, 14.0, 87.0, 41.0], [39.0, 95.0, 86.0, 146.0]]","[3, 3, 2, 1]"
71,train,_day01_detection_data\images\train_071.png,160,160,0,1,"[[20.0, 73.0, 59.0, 133.0], [47.0, 41.0, 83.0, 88.0], [78.0, 65.0, 144.0, 105.0]]","[3, 3, 1]"
72,train,_day01_detection_data\images\train_072.png,160,160,0,0,"[[128.0, 2.0, 142.0, 38.0], [63.0, 75.0, 91.0, 122.0], [89.0, 32.0, 112.0, 51.0]]","[2, 1, 2]"
73,train,_day01_detection_data\images\train_073.png,160,160,0,0,"[[31.0, 75.0, 83.0, 141.0], [39.0, 61.0, 65.0, 109.0], [61.0, 7.0, 123.0, 42.0]]","[3, 2, 1]"
74,train,_day01_detection_data\images\train_074.png,160,160,0,0,"[[7.0, 93.0, 50.0, 144.0]]",[2]
75,train,_day01_detection_data\images\train_075.png,160,160,0,1,"[[105.0, 58.0, 124.0, 102.0], [23.0, 111.0, 89.0, 134.0]]","[1, 1]"
76,train,_day01_detection_data\images\train_076.png,160,160,0,0,"[[2.0, 33.0, 21.0, 72.0], [28.0, 21.0, 44.0, 36.0], [26.0, 59.0, 49.0, 106.0], [39.0, 20.0, 61.0, 68.0]]","[3, 2, 1, 2]"
77,train,_day01_detection_data\images\train_077.png,160,160,0,0,"[[18.0, 24.0, 70.0, 85.0]]",[3]
78,train,_day01_detection_data\images\train_078.png,160,160,0,1,"[[22.0, 20.0, 57.0, 84.0], [79.0, 57.0, 129.0, 77.0]]","[3, 1]"
79,train,_day01_detection_data\images\train_079.png,160,160,0,1,"[[104.0, 108.0, 151.0, 152.0], [47.0, 34.0, 73.0, 100.0], [8.0, 113.0, 53.0, 146.0], [79.0, 60.0, 93.0, 88.0]]","[1, 3, 3, 1]"
80,train,_day01_detection_data\images\train_080.png,160,160,0,1,"[[92.0, 90.0, 116.0, 143.0], [11.0, 111.0, 40.0, 134.0], [99.0, 27.0, 133.0, 90.0]]","[2, 1, 3]"
81,train,_day01_detection_data\images\train_081.png,160,160,0,1,"[[64.0, 42.0, 107.0, 65.0], [91.0, 84.0, 128.0, 112.0], [2.0, 10.0, 68.0, 22.0]]","[3, 1, 1]"
82,train,_day01_detection_data\images\train_082.png,160,160,0,0,"[[34.0, 72.0, 49.0, 106.0]]",[2]
83,train,_day01_detection_data\images\train_083.png,160,160,0,1,"[[130.0, 92.0, 150.0, 125.0], [97.0, 11.0, 139.0, 33.0], [72.0, 105.0, 92.0, 146.0]]","[3, 2, 2]"
84,train,_day01_detection_data\images\train_084.png,160,160,0,0,"[[87.0, 90.0, 138.0, 150.0], [72.0, 118.0, 101.0, 150.0], [73.0, 132.0, 139.0, 144.0]]","[3, 2, 1]"
85,train,_day01_detection_data\images\train_085.png,160,160,0,0,"[[50.0, 40.0, 74.0, 64.0], [77.0, 6.0, 94.0, 55.0], [47.0, 51.0, 91.0, 66.0]]","[2, 1, 2]"
86,train,_day01_detection_data\images\train_086.png,160,160,0,0,"[[71.0, 21.0, 125.0, 62.0], [47.0, 33.0, 95.0, 76.0], [65.0, 47.0, 111.0, 101.0], [70.0, 18.0, 116.0, 51.0]]","[2, 1, 2, 1]"
87,train,_day01_detection_data\images\train_087.png,160,160,0,0,"[[77.0, 15.0, 110.0, 41.0], [24.0, 3.0, 68.0, 44.0], [42.0, 34.0, 90.0, 54.0]]","[3, 3, 1]"
88,train,_day01_detection_data\images\train_088.png,160,160,0,0,"[[63.0, 34.0, 129.0, 72.0], [122.0, 95.0, 144.0, 137.0], [83.0, 123.0, 133.0, 139.0], [51.0, 2.0, 79.0, 48.0], [13.0, 54.0, 56.0, 120.0]]","[1, 1, 2, 2, 3]"
89,train,_day01_detection_data\images\train_089.png,160,160,0,0,"[[62.0, 78.0, 100.0, 108.0], [38.0, 82.0, 104.0, 101.0]]","[2, 1]"
90,train,_day01_detection_data\images\train_090.png,160,160,0,0,"[[104.0, 43.0, 130.0, 80.0]]",[3]
91,train,_day01_detection_data\images\train_091.png,160,160,0,1,"[[42.0, 24.0, 65.0, 81.0], [43.0, 78.0, 96.0, 99.0], [77.0, 69.0, 112.0, 86.0], [26.0, 65.0, 78.0, 124.0], [45.0, 14.0, 111.0, 61.0]]","[3, 1, 2, 3, 1]"
92,train,_day01_detection_data\images\train_092.png,160,160,0,1,"[[50.0, 106.0, 108.0, 150.0], [60.0, 12.0, 78.0, 40.0], [17.0, 43.0, 58.0, 96.0]]","[1, 2, 3]"
93,train,_day01_detection_data\images\train_093.png,160,160,0,0,"[[61.0, 15.0, 80.0, 53.0], [142.0, 41.0, 155.0, 107.0], [62.0, 77.0, 83.0, 99.0]]","[2, 3, 1]"
94,train,_day01_detection_data\images\train_094.png,160,160,1,1,[],[]
95,train,_day01_detection_data\images\train_095.png,160,160,0,0,"[[50.0, 54.0, 81.0, 94.0], [13.0, 4.0, 44.0, 49.0], [72.0, 119.0, 113.0, 136.0], [26.0, 76.0, 61.0, 114.0]]","[1, 3, 2, 3]"
96,train,_day01_detection_data\images\train_096.png,160,160,0,1,"[[105.0, 10.0, 157.0, 27.0], [123.0, 32.0, 157.0, 84.0]]","[2, 2]"
97,train,_day01_detection_data\images\train_097.png,160,160,0,1,"[[58.0, 55.0, 80.0, 84.0], [22.0, 42.0, 75.0, 74.0], [101.0, 72.0, 155.0, 122.0]]","[2, 2, 2]"
98,train,_day01_detection_data\images\train_098.png,160,160,0,0,"[[72.0, 48.0, 136.0, 63.0], [30.0, 63.0, 96.0, 105.0]]","[1, 1]"
99,train,_day01_detection_data\images\train_099.png,160,160,1,1,[],[]
100,train,_day01_detection_data\images\train_100.png,160,160,0,0,"[[106.0, 98.0, 134.0, 112.0], [9.0, 116.0, 75.0, 157.0]]","[2, 1]"
101,train,_day01_detection_data\images\train_101.png,160,160,0,0,"[[93.0, 90.0, 129.0, 132.0], [77.0, 85.0, 93.0, 101.0], [8.0, 93.0, 40.0, 116.0], [32.0, 41.0, 56.0, 78.0]]","[2, 2, 3, 2]"
102,train,_day01_detection_data\images\train_102.png,160,160,0,0,"[[44.0, 50.0, 70.0, 64.0]]",[1]
103,train,_day01_detection_data\images\train_103.png,160,160,0,1,"[[6.0, 15.0, 22.0, 81.0], [104.0, 22.0, 116.0, 73.0]]","[3, 2]"
104,train,_day01_detection_data\images\train_104.png,160,160,0,1,"[[64.0, 131.0, 111.0, 145.0], [39.0, 98.0, 59.0, 133.0], [41.0, 93.0, 62.0, 147.0], [8.0, 57.0, 38.0, 89.0], [105.0, 89.0, 155.0, 122.0]]","[3, 2, 3, 1, 3]"
105,train,_day01_detection_data\images\train_105.png,160,160,0,0,"[[47.0, 21.0, 89.0, 49.0], [48.0, 119.0, 91.0, 146.0], [36.0, 101.0, 85.0, 118.0]]","[3, 2, 2]"
106,train,_day01_detection_data\images\train_106.png,160,160,0,0,"[[63.0, 84.0, 96.0, 126.0], [61.0, 50.0, 93.0, 77.0], [78.0, 99.0, 116.0, 152.0]]","[2, 3, 3]"
107,train,_day01_detection_data\images\train_107.png,160,160,0,0,"[[3.0, 137.0, 42.0, 156.0], [14.0, 62.0, 69.0, 113.0]]","[3, 1]"
108,train,_day01_detection_data\images\train_108.png,160,160,0,0,"[[56.0, 14.0, 84.0, 50.0]]",[1]
109,train,_day01_detection_data\images\train_109.png,160,160,0,1,"[[7.0, 81.0, 56.0, 131.0], [2.0, 70.0, 24.0, 110.0]]","[1, 2]"
110,train,_day01_detection_data\images\train_110.png,160,160,0,1,"[[109.0, 75.0, 146.0, 112.0], [6.0, 87.0, 48.0, 110.0], [68.0, 89.0, 114.0, 138.0], [25.0, 43.0, 75.0, 96.0]]","[1, 2, 2, 3]"
111,train,_day01_detection_data\images\train_111.png,160,160,0,0,"[[34.0, 33.0, 100.0, 85.0], [52.0, 102.0, 71.0, 132.0], [4.0, 16.0, 26.0, 63.0]]","[1, 2, 2]"
112,train,_day01_detection_data\images\train_112.png,160,160,0,1,"[[85.0, 33.0, 106.0, 93.0], [62.0, 71.0, 92.0, 84.0], [26.0, 53.0, 61.0, 78.0]]","[3, 1, 1]"
113,train,_day01_detection_data\images\train_113.png,160,160,0,0,"[[22.0, 62.0, 75.0, 88.0]]",[2]
114,train,_day01_detection_data\images\train_114.png,160,160,1,0,[],[]
115,train,_day01_detection_data\images\train_115.png,160,160,0,0,"[[14.0, 39.0, 54.0, 60.0], [52.0, 42.0, 93.0, 107.0], [35.0, 80.0, 81.0, 136.0], [10.0, 42.0, 75.0, 54.0]]","[1, 3, 3, 1]"
116,train,_day01_detection_data\images\train_116.png,160,160,0,0,"[[55.0, 37.0, 96.0, 56.0], [97.0, 55.0, 143.0, 72.0], [45.0, 25.0, 111.0, 40.0]]","[2, 2, 1]"
117,train,_day01_detection_data\images\train_117.png,160,160,0,1,"[[22.0, 27.0, 41.0, 61.0], [16.0, 102.0, 35.0, 146.0], [54.0, 14.0, 101.0, 67.0], [19.0, 103.0, 73.0, 143.0], [58.0, 123.0, 84.0, 154.0]]","[1, 1, 1, 1, 2]"
118,train,_day01_detection_data\images\train_118.png,160,160,0,1,"[[74.0, 103.0, 140.0, 116.0], [103.0, 30.0, 117.0, 69.0], [112.0, 51.0, 146.0, 98.0], [14.0, 65.0, 42.0, 115.0], [99.0, 102.0, 116.0, 126.0]]","[1, 3, 2, 1, 3]"
119,train,_day01_detection_data\images\train_119.png,160,160,0,0,"[[31.0, 40.0, 83.0, 95.0]]",[3]
120,train,_day01_detection_data\images\train_120.png,160,160,0,0,"[[68.0, 112.0, 95.0, 153.0], [51.0, 75.0, 117.0, 107.0]]","[3, 1]"
121,train,_day01_detection_data\images\train_121.png,160,160,0,0,"[[31.0, 31.0, 97.0, 73.0], [86.0, 134.0, 124.0, 153.0], [72.0, 91.0, 138.0, 116.0], [56.0, 40.0, 107.0, 89.0]]","[1, 3, 1, 2]"
122,train,_day01_detection_data\images\train_122.png,160,160,0,0,"[[85.0, 46.0, 103.0, 86.0], [49.0, 81.0, 71.0, 116.0], [26.0, 12.0, 78.0, 55.0]]","[3, 3, 2]"
123,train,_day01_detection_data\images\train_123.png,160,160,1,1,[],[]
124,train,_day01_detection_data\images\train_124.png,160,160,0,1,"[[42.0, 38.0, 108.0, 81.0]]",[1]
125,train,_day01_detection_data\images\train_125.png,160,160,0,1,"[[110.0, 3.0, 141.0, 42.0], [51.0, 45.0, 117.0, 62.0], [5.0, 17.0, 40.0, 70.0], [128.0, 88.0, 151.0, 114.0]]","[2, 1, 1, 2]"
126,train,_day01_detection_data\images\train_126.png,160,160,0,0,"[[14.0, 22.0, 52.0, 65.0], [72.0, 63.0, 93.0, 129.0], [11.0, 102.0, 61.0, 128.0]]","[1, 3, 2]"
127,train,_day01_detection_data\images\train_127.png,160,160,0,1,"[[100.0, 102.0, 146.0, 138.0], [4.0, 115.0, 48.0, 130.0]]","[2, 2]"
128,train,_day01_detection_data\images\train_128.png,160,160,0,0,"[[3.0, 97.0, 51.0, 130.0], [83.0, 119.0, 118.0, 149.0], [7.0, 93.0, 73.0, 122.0], [76.0, 72.0, 141.0, 126.0], [73.0, 104.0, 139.0, 121.0]]","[2, 2, 1, 1, 1]"
129,train,_day01_detection_data\images\train_129.png,160,160,0,0,"[[97.0, 5.0, 138.0, 44.0], [23.0, 19.0, 89.0, 37.0], [100.0, 9.0, 133.0, 48.0], [11.0, 14.0, 24.0, 80.0]]","[2, 1, 1, 3]"
130,train,_day01_detection_data\images\train_130.png,160,160,0,0,"[[8.0, 63.0, 47.0, 108.0], [17.0, 8.0, 80.0, 56.0], [44.0, 49.0, 63.0, 74.0], [18.0, 41.0, 39.0, 70.0], [93.0, 93.0, 156.0, 126.0]]","[2, 1, 2, 1, 1]"
131,train,_day01_detection_data\images\train_131.png,160,160,0,1,"[[32.0, 3.0, 58.0, 44.0], [91.0, 68.0, 145.0, 88.0], [115.0, 66.0, 136.0, 109.0]]","[2, 3, 3]"
132,train,_day01_detection_data\images\train_132.png,160,160,0,0,"[[126.0, 61.0, 141.0, 110.0], [124.0, 18.0, 138.0, 46.0], [104.0, 26.0, 128.0, 50.0], [107.0, 68.0, 153.0, 108.0]]","[3, 3, 3, 3]"
133,train,_day01_detection_data\images\train_133.png,160,160,1,0,[],[]
134,train,_day01_detection_data\images\train_134.png,160,160,0,1,"[[42.0, 104.0, 70.0, 120.0], [56.0, 49.0, 100.0, 83.0]]","[2, 2]"
135,train,_day01_detection_data\images\train_135.png,160,160,0,0,"[[91.0, 101.0, 131.0, 138.0], [104.0, 130.0, 157.0, 156.0], [49.0, 82.0, 72.0, 136.0]]","[1, 3, 1]"
136,train,_day01_detection_data\images\train_136.png,160,160,1,0,[],[]
137,train,_day01_detection_data\images\train_137.png,160,160,0,0,"[[54.0, 38.0, 69.0, 88.0], [87.0, 77.0, 132.0, 108.0], [3.0, 28.0, 56.0, 77.0], [93.0, 82.0, 156.0, 122.0], [110.0, 115.0, 153.0, 141.0]]","[3, 2, 2, 1, 2]"
138,train,_day01_detection_data\images\train_138.png,160,160,0,1,"[[107.0, 2.0, 153.0, 55.0], [5.0, 116.0, 52.0, 140.0], [44.0, 64.0, 70.0, 115.0], [99.0, 22.0, 129.0, 79.0], [32.0, 72.0, 80.0, 113.0]]","[1, 3, 2, 3, 3]"
139,train,_day01_detection_data\images\train_139.png,160,160,0,0,"[[97.0, 48.0, 133.0, 114.0], [34.0, 32.0, 49.0, 84.0], [84.0, 75.0, 127.0, 90.0], [107.0, 7.0, 153.0, 29.0]]","[3, 2, 2, 3]"
140,train,_day01_detection_data\images\train_140.png,160,160,0,0,"[[28.0, 70.0, 63.0, 129.0], [84.0, 10.0, 114.0, 76.0], [8.0, 64.0, 60.0, 102.0]]","[3, 3, 3]"
141,train,_day01_detection_data\images\train_141.png,160,160,0,0,"[[35.0, 28.0, 76.0, 44.0], [13.0, 48.0, 71.0, 78.0], [138.0, 120.0, 151.0, 137.0]]","[1, 1, 2]"
142,train,_day01_detection_data\images\train_142.png,160,160,0,1,"[[115.0, 17.0, 148.0, 83.0], [34.0, 3.0, 64.0, 35.0], [72.0, 59.0, 121.0, 91.0], [47.0, 93.0, 95.0, 123.0], [120.0, 90.0, 140.0, 132.0]]","[3, 3, 3, 3, 2]"
